input,fixed_point_tanh,std_tanh
-9.159981,-1.000000,-1.000000
-9.149981,-1.000000,-1.000000
-9.139980,-1.000000,-1.000000
-9.129980,-1.000000,-1.000000
-9.119980,-1.000000,-1.000000
-9.109980,-1.000000,-1.000000
-9.099979,-1.000000,-1.000000
-9.089979,-1.000000,-1.000000
-9.079979,-1.000000,-1.000000
-9.069979,-1.000000,-1.000000
-9.059978,-1.000000,-1.000000
-9.049978,-1.000000,-1.000000
-9.039978,-1.000000,-1.000000
-9.029978,-1.000000,-1.000000
-9.019978,-1.000000,-1.000000
-9.009977,-1.000000,-1.000000
-8.999977,-1.000000,-1.000000
-8.989977,-1.000000,-1.000000
-8.979977,-1.000000,-1.000000
-8.969976,-1.000000,-1.000000
-8.959976,-1.000000,-1.000000
-8.949976,-1.000000,-1.000000
-8.939976,-1.000000,-1.000000
-8.929976,-1.000000,-1.000000
-8.919975,-1.000000,-1.000000
-8.909975,-1.000000,-1.000000
-8.899975,-1.000000,-1.000000
-8.889975,-1.000000,-1.000000
-8.879974,-1.000000,-1.000000
-8.869974,-1.000000,-1.000000
-8.859974,-1.000000,-1.000000
-8.849974,-1.000000,-1.000000
-8.839973,-1.000000,-1.000000
-8.829973,-1.000000,-1.000000
-8.819973,-1.000000,-1.000000
-8.809973,-1.000000,-1.000000
-8.799973,-1.000000,-1.000000
-8.789972,-1.000000,-1.000000
-8.779972,-1.000000,-1.000000
-8.769972,-1.000000,-1.000000
-8.759972,-1.000000,-1.000000
-8.749971,-1.000000,-1.000000
-8.739971,-1.000000,-1.000000
-8.729971,-1.000000,-1.000000
-8.719971,-1.000000,-1.000000
-8.709970,-1.000000,-1.000000
-8.699970,-1.000000,-1.000000
-8.689970,-1.000000,-1.000000
-8.679970,-1.000000,-1.000000
-8.669970,-1.000000,-1.000000
-8.659969,-1.000000,-1.000000
-8.649969,-1.000000,-1.000000
-8.639969,-1.000000,-1.000000
-8.629969,-1.000000,-1.000000
-8.619968,-1.000000,-1.000000
-8.609968,-1.000000,-1.000000
-8.599968,-1.000000,-1.000000
-8.589968,-1.000000,-1.000000
-8.579967,-1.000000,-1.000000
-8.569967,-1.000000,-1.000000
-8.559967,-1.000000,-1.000000
-8.549967,-1.000000,-1.000000
-8.539967,-1.000000,-1.000000
-8.529966,-1.000000,-1.000000
-8.519966,-1.000000,-1.000000
-8.509966,-1.000000,-1.000000
-8.499966,-1.000000,-1.000000
-8.489965,-1.000000,-1.000000
-8.479965,-1.000000,-1.000000
-8.469965,-1.000000,-1.000000
-8.459965,-1.000000,-1.000000
-8.449965,-1.000000,-1.000000
-8.439964,-1.000000,-1.000000
-8.429964,-1.000000,-1.000000
-8.419964,-1.000000,-1.000000
-8.409964,-1.000000,-1.000000
-8.399963,-1.000000,-1.000000
-8.389963,-1.000000,-1.000000
-8.379963,-1.000000,-1.000000
-8.369963,-1.000000,-1.000000
-8.359962,-1.000000,-1.000000
-8.349962,-1.000000,-1.000000
-8.339962,-1.000000,-1.000000
-8.329962,-1.000000,-1.000000
-8.319962,-1.000000,-1.000000
-8.309961,-1.000000,-1.000000
-8.299961,-1.000000,-1.000000
-8.289961,-1.000000,-1.000000
-8.279961,-1.000000,-1.000000
-8.269960,-1.000000,-1.000000
-8.259960,-1.000000,-1.000000
-8.249960,-1.000000,-1.000000
-8.239960,-1.000000,-1.000000
-8.229959,-1.000000,-1.000000
-8.219959,-1.000000,-1.000000
-8.209959,-1.000000,-1.000000
-8.199959,-1.000000,-1.000000
-8.189959,-1.000000,-1.000000
-8.179958,-1.000000,-1.000000
-8.169958,-1.000000,-1.000000
-8.159958,-1.000000,-1.000000
-8.149958,-1.000000,-1.000000
-8.139957,-1.000000,-1.000000
-8.129957,-1.000000,-1.000000
-8.119957,-1.000000,-1.000000
-8.109957,-1.000000,-1.000000
-8.099957,-1.000000,-1.000000
-8.089956,-1.000000,-1.000000
-8.079956,-1.000000,-1.000000
-8.069956,-1.000000,-1.000000
-8.059956,-1.000000,-1.000000
-8.049955,-1.000000,-1.000000
-8.039955,-1.000000,-1.000000
-8.029955,-1.000000,-1.000000
-8.019955,-1.000000,-1.000000
-8.009954,-1.000000,-1.000000
-7.999954,-1.000000,-1.000000
-7.989954,-1.000000,-1.000000
-7.979954,-1.000000,-1.000000
-7.969954,-1.000000,-1.000000
-7.959953,-1.000000,-1.000000
-7.949953,-1.000000,-1.000000
-7.939953,-1.000000,-1.000000
-7.929953,-1.000000,-1.000000
-7.919952,-1.000000,-1.000000
-7.909952,-1.000000,-1.000000
-7.899952,-1.000000,-1.000000
-7.889952,-1.000000,-1.000000
-7.879951,-1.000000,-1.000000
-7.869951,-1.000000,-1.000000
-7.859951,-1.000000,-1.000000
-7.849951,-1.000000,-1.000000
-7.839951,-1.000000,-1.000000
-7.829950,-1.000000,-1.000000
-7.819950,-1.000000,-1.000000
-7.809950,-1.000000,-1.000000
-7.799950,-1.000000,-1.000000
-7.789949,-1.000000,-1.000000
-7.779949,-1.000000,-1.000000
-7.769949,-1.000000,-1.000000
-7.759949,-1.000000,-1.000000
-7.749949,-1.000000,-1.000000
-7.739948,-1.000000,-1.000000
-7.729948,-1.000000,-1.000000
-7.719948,-1.000000,-1.000000
-7.709948,-1.000000,-1.000000
-7.699947,-1.000000,-1.000000
-7.689947,-1.000000,-1.000000
-7.679947,-1.000000,-1.000000
-7.669947,-1.000000,-1.000000
-7.659946,-1.000000,-1.000000
-7.649946,-1.000000,-1.000000
-7.639946,-1.000000,-1.000000
-7.629946,-1.000000,-1.000000
-7.619946,-1.000000,-1.000000
-7.609945,-1.000000,-1.000000
-7.599945,-1.000000,-1.000000
-7.589945,-1.000000,-0.999999
-7.579945,-1.000000,-0.999999
-7.569944,-1.000000,-0.999999
-7.559944,-1.000000,-0.999999
-7.549944,-1.000000,-0.999999
-7.539944,-1.000000,-0.999999
-7.529943,-1.000000,-0.999999
-7.519943,-1.000000,-0.999999
-7.509943,-1.000000,-0.999999
-7.499943,-1.000000,-0.999999
-7.489943,-1.000000,-0.999999
-7.479942,-1.000000,-0.999999
-7.469942,-1.000000,-0.999999
-7.459942,-1.000000,-0.999999
-7.449942,-1.000000,-0.999999
-7.439941,-1.000000,-0.999999
-7.429941,-1.000000,-0.999999
-7.419941,-1.000000,-0.999999
-7.409941,-1.000000,-0.999999
-7.399940,-1.000000,-0.999999
-7.389940,-1.000000,-0.999999
-7.379940,-1.000000,-0.999999
-7.369940,-1.000000,-0.999999
-7.359940,-1.000000,-0.999999
-7.349939,-1.000000,-0.999999
-7.339939,-1.000000,-0.999999
-7.329939,-1.000000,-0.999999
-7.319939,-1.000000,-0.999999
-7.309938,-1.000000,-0.999999
-7.299938,-1.000000,-0.999999
-7.289938,-1.000000,-0.999999
-7.279938,-1.000000,-0.999999
-7.269938,-1.000000,-0.999999
-7.259937,-1.000000,-0.999999
-7.249937,-1.000000,-0.999999
-7.239937,-1.000000,-0.999999
-7.229937,-1.000000,-0.999999
-7.219936,-1.000000,-0.999999
-7.209936,-1.000000,-0.999999
-7.199936,-1.000000,-0.999999
-7.189936,-1.000000,-0.999999
-7.179935,-1.000000,-0.999999
-7.169935,-1.000000,-0.999999
-7.159935,-1.000000,-0.999999
-7.149935,-1.000000,-0.999999
