Timestamp,Step,train_loss,val_loss,perplexity,time_ms,tokens_per_second,learning_rate
2025-04-02T01:56:49,31,NA,NA,NA,NA,267.133759,NA
2025-04-02T01:56:49,31,NA,NA,NA,NA,NA,0.001000
2025-04-02T01:56:50,32,6.740223,NA,NA,NA,NA,NA
2025-04-02T01:56:50,32,NA,NA,845.749634,NA,NA,NA
2025-04-02T01:56:50,32,NA,NA,NA,977.934782,NA,NA
2025-04-02T01:56:50,32,NA,NA,NA,NA,261.776154,NA
2025-04-02T01:56:50,32,NA,NA,NA,NA,NA,0.001000
2025-04-02T01:56:51,33,6.775033,NA,NA,NA,NA,NA
2025-04-02T01:56:51,33,NA,NA,875.707825,NA,NA,NA
2025-04-02T01:56:51,33,NA,NA,NA,1024.366690,NA,NA
2025-04-02T01:56:51,33,NA,NA,NA,NA,249.910507,NA
2025-04-02T01:56:51,33,NA,NA,NA,NA,NA,0.001000
2025-04-02T01:56:52,34,6.716750,NA,NA,NA,NA,NA
2025-04-02T01:56:52,34,NA,NA,826.128357,NA,NA,NA
2025-04-02T01:56:52,34,NA,NA,NA,1004.151075,NA,NA
2025-04-02T01:56:52,34,NA,NA,NA,NA,254.941711,NA
2025-04-02T01:56:52,34,NA,NA,NA,NA,NA,0.001000
2025-04-02T01:56:52,35,6.601991,NA,NA,NA,NA,NA
2025-04-02T01:56:52,35,NA,NA,736.560364,NA,NA,NA
2025-04-02T01:56:52,35,NA,NA,NA,904.011904,NA,NA
2025-04-02T01:56:52,35,NA,NA,NA,NA,283.182098,NA
2025-04-02T01:56:52,35,NA,NA,NA,NA,NA,0.001000
2025-04-02T01:56:53,36,6.697486,NA,NA,NA,NA,NA
2025-04-02T01:56:53,36,NA,NA,810.366333,NA,NA,NA
2025-04-02T01:56:53,36,NA,NA,NA,903.486338,NA,NA
2025-04-02T01:56:53,36,NA,NA,NA,NA,283.346832,NA
2025-04-02T01:56:53,36,NA,NA,NA,NA,NA,0.001000
