Timestamp,Step,train_loss,val_loss,time_ms,tokens_per_second,learning_rate
2025-03-28T14:18:20,52,16.594503,NA,NA,NA,NA
2025-03-28T14:18:20,52,NA,NA,27217.615434,NA,NA
2025-03-28T14:18:20,52,NA,NA,NA,9.405673,NA
2025-03-28T14:18:20,52,NA,NA,NA,NA,0.000974
2025-03-28T14:18:47,53,17.775993,NA,NA,NA,NA
2025-03-28T14:18:47,53,NA,NA,26368.767082,NA,NA
2025-03-28T14:18:47,53,NA,NA,NA,9.708455,NA
2025-03-28T14:18:47,53,NA,NA,NA,NA,0.000973
2025-03-28T14:19:16,54,18.744614,NA,NA,NA,NA
2025-03-28T14:19:16,54,NA,NA,26759.360351,NA,NA
2025-03-28T14:19:16,54,NA,NA,NA,9.566746,NA
2025-03-28T14:19:16,54,NA,NA,NA,NA,0.000971
2025-03-28T14:19:43,55,17.654047,NA,NA,NA,NA
2025-03-28T14:19:43,55,NA,NA,27100.533316,NA,NA
2025-03-28T14:19:43,55,NA,NA,NA,9.446308,NA
2025-03-28T14:19:43,55,NA,NA,NA,NA,0.000970
2025-03-28T14:20:11,56,17.166147,NA,NA,NA,NA
2025-03-28T14:20:11,56,NA,NA,26692.355487,NA,NA
2025-03-28T14:20:11,56,NA,NA,NA,9.590761,NA
2025-03-28T14:20:11,56,NA,NA,NA,NA,0.000969
2025-03-28T14:20:39,57,17.092297,NA,NA,NA,NA
2025-03-28T14:20:39,57,NA,NA,26688.822234,NA,NA
2025-03-28T14:20:39,57,NA,NA,NA,9.592031,NA
2025-03-28T14:20:39,57,NA,NA,NA,NA,0.000968
2025-03-28T14:21:07,58,17.659836,NA,NA,NA,NA
2025-03-28T14:21:07,58,NA,NA,26925.897277,NA,NA
2025-03-28T14:21:07,58,NA,NA,NA,9.507575,NA
2025-03-28T14:21:07,58,NA,NA,NA,NA,0.000967
2025-03-28T14:21:35,59,19.574358,NA,NA,NA,NA
2025-03-28T14:21:35,59,NA,NA,26703.296983,NA,NA
2025-03-28T14:21:35,59,NA,NA,NA,9.586831,NA
2025-03-28T14:21:35,59,NA,NA,NA,NA,0.000966
2025-03-28T14:22:15,60,NA,17.799988,NA,NA,NA
2025-03-28T14:31:09,60,18.311316,NA,NA,NA,NA
2025-03-28T14:31:09,60,NA,NA,27280.795286,NA,NA
2025-03-28T14:31:09,60,NA,NA,NA,9.383891,NA
2025-03-28T14:31:09,60,NA,NA,NA,NA,0.000965
2025-03-28T14:31:37,61,17.976795,NA,NA,NA,NA
2025-03-28T14:31:37,61,NA,NA,26480.111553,NA,NA
